"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 18:46:23 GMT 2022","Mon Sep 19 18:46:25 GMT 2022","2423","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleWithExistingTitle","createNewArticleWithExistingTitle",""
"passed","Mon Sep 19 18:46:35 GMT 2022","Mon Sep 19 18:46:37 GMT 2022","1803","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteSameArticleTwice","deleteSameArticleTwice",""
"passed","Mon Sep 19 18:46:42 GMT 2022","Mon Sep 19 18:46:44 GMT 2022","2392","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingComment","verifyDeletingComment",""
"passed","Mon Sep 19 18:46:42 GMT 2022","Mon Sep 19 18:46:45 GMT 2022","3052","Backbase API Tests","Comments Testcases","comments.CommentsDeleteTest","comments.CommentsDeleteTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:46:20 GMT 2022","Mon Sep 19 18:46:22 GMT 2022","1420","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","createNewArticleAndValidateResponse","createNewArticleAndValidateResponse",""
"passed","Mon Sep 19 18:46:40 GMT 2022","Mon Sep 19 18:46:43 GMT 2022","3058","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingOtherUsersComment","verifyDeletingOtherUsersComment",""
"passed","Mon Sep 19 18:46:27 GMT 2022","Mon Sep 19 18:46:29 GMT 2022","1870","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:46:40 GMT 2022","Mon Sep 19 18:46:42 GMT 2022","1839","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOwnArticle","verifyPostACommentIsSuccessfulForOwnArticle",""
"passed","Mon Sep 19 18:46:39 GMT 2022","Mon Sep 19 18:46:42 GMT 2022","2535","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyPostACommentIsSuccessfulForOthersArticle","verifyPostACommentIsSuccessfulForOthersArticle",""
"passed","Mon Sep 19 18:46:30 GMT 2022","Mon Sep 19 18:46:32 GMT 2022","1855","Backbase API Tests","Articles Testcases","articles.ArticleUpdateTest","articles.ArticleUpdateTest","updateAllTheFieldsOfArticle","updateAllTheFieldsOfArticle",""
"passed","Mon Sep 19 18:46:32 GMT 2022","Mon Sep 19 18:46:34 GMT 2022","1865","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","deleteArticleOfDifferentUser","deleteArticleOfDifferentUser",""
"passed","Mon Sep 19 18:46:37 GMT 2022","Mon Sep 19 18:46:38 GMT 2022","1186","Backbase API Tests","Articles Testcases","articles.ArticleDeletionTest","articles.ArticleDeletionTest","verifyArticleDeletionRequest","verifyArticleDeletionRequest",""
"failed","Mon Sep 19 18:46:39 GMT 2022","Mon Sep 19 18:46:41 GMT 2022","1845","Backbase API Tests","Comments Testcases","comments.CommentsRetrieveTest","comments.CommentsRetrieveTest","retrieveCommentsFromAnArticle","retrieveCommentsFromAnArticle",""
"passed","Mon Sep 19 18:46:26 GMT 2022","Mon Sep 19 18:46:26 GMT 2022","593","Backbase API Tests","Articles Testcases","articles.ArticleCreationTest","articles.ArticleCreationTest","invokeCreateArticleWithInvalidJWTtoken","invokeCreateArticleWithInvalidJWTtoken",""
"passed","Mon Sep 19 18:46:40 GMT 2022","Mon Sep 19 18:46:42 GMT 2022","2409","Backbase API Tests","Comments Testcases","comments.CommentsPostTest","comments.CommentsPostTest","verifyDeletingComment","verifyDeletingComment",""
